Sentence,Entity,Sentiment
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",ambience,positive
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",service,positive
the prices were fantastic.,price,positive
what a great place!,anecdotes,positive
"still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",food,positive
"i've been to sapphire twice and both times the food was fine, if not good.",food,positive
was surprisingly disappointed.,anecdotes,negative
i love the fact that the pizza tastes so good and is so cheap.,price,positive
i love the fact that the pizza tastes so good and is so cheap.,food,positive
nicky the nose at the bar is a treat.,service,positive
"service was prompt, friendly and great.",service,positive
"i haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",food,positive
the sushi was awful!,food,negative
katz's has been a nyc original for over 100 years.,anecdotes,positive
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,price,negative
"the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",food,positive
the plain pizza was soggy and the creative wild mushroom(third generation-fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,food,negative
"late nite omelletes are not good here, there is no variety!",food,negative
everything at sala thai is tasty and well-portioned.,food,positive
"after all that, they complained to me about the small tip.",service,negative
it's a great place to pick up a cheap lunch or dinner.,price,positive
"behind this counter, two men are squeezed in.",ambience,negative
great find!!!,anecdotes,positive
"if only they delivered, they'd make a mint!",anecdotes,positive
"whenever you need a sushi fix, mizu will be there with quality fish and great service.",food,positive
"whenever you need a sushi fix, mizu will be there with quality fish and great service.",service,positive
"our waitress was sweet and accomodating, not overbearing.",service,positive
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,service,negative
i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,anecdotes,negative
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,ambience,positive
"a large is $20, and toppings are about $3 each.",price,negative
"in any event, this is a place i'll be sure to stop by again when i'm in this part of town.",anecdotes,positive
i definitely wouldn't go back.,anecdotes,negative
it is not worth for that bucks.,price,negative
brick oven gallery is my pick for best pizza restaurant anywhere.,anecdotes,positive
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,positive
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive
"for many people, this may not seem like aunthentic thai food because most places in nyc arent quite authentic.",food,negative
"oh, don't even let me start with how expensive the bills were!",price,negative
a hearty two thumbs up!,anecdotes,positive
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",food,positive
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",price,negative
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",service,negative
service is top notch.,service,positive
the food now is inconsistent.,food,negative
all pretty good.,anecdotes,positive
"you can also special order any kind of dumpling,etc.",anecdotes,positive
you guys rock.,anecdotes,positive
chance is a joke.,anecdotes,negative
i was pretty much full after our fondue appetizer.,anecdotes,positive
i was pretty much full after our fondue appetizer.,food,positive
the octopus eaters were floored by the octopus salad.,food,positive
we thought that this place is using too much of msg cooking in the foods.,food,negative
and the tom kha soup was pathetic.,food,negative
i started out with a bombay beer which was big enough for two.,food,positive
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",ambience,positive
service was quick.,service,positive
tends to turn people away.,anecdotes,negative
"i was turned on to this restaurant by a fellow foodie friend of mine, and have been going back regularly ever since.",anecdotes,positive
drawbacks: service is slow and they don't toast!,service,negative
i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed!,anecdotes,positive
"we've been following chef lyle's food around new york for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,positive
the best thing i tasted were the lambchops.,food,positive
it's delicious!,food,positive
the spicy tuna and salmon are the best we've ever had.,food,positive
"even though its good seafood, the prices are too high.",price,negative
"even though its good seafood, the prices are too high.",food,positive
"in addition, the food is very good and the prices are reasonable.",price,positive
"in addition, the food is very good and the prices are reasonable.",food,positive
"upon entering, we were greeted by the owners, steven and frederick, who went out of their way to be more than gracious hosts.",service,positive
"if you live outside the neighborhood, don't bother!",anecdotes,negative
been going here since it opened have seen the quality value decrease considerably.,anecdotes,negative
i never had anything i didn't like here.,anecdotes,positive
reasonable prices.,price,positive
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,service,positive
"try the crunchy tuna, it is to die for.",food,positive
it won't break the bank but i also wouldnt come back for the food.,food,negative
"all in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",anecdotes,positive
i've been to joya twice and i will never go again.,anecdotes,negative
so rushing us out was absolutely unnecessary!,anecdotes,negative
it is a lot of fun with live entertainment and all kinds of disney type special effects.,ambience,positive
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",food,positive
"no refills on fountain drinks, though.",food,negative
wow over 100 beers to choose from.,food,positive
be careful of portions - they're huge.,food,positive
"the steak tartare is a great bet, they fix it for you at the table.",food,positive
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.,food,negative
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.,service,positive
great for large groups and celebrations - our super happy waiter was the entertainment of the evening.,anecdotes,positive
great for large groups and celebrations - our super happy waiter was the entertainment of the evening.,service,positive
"plus, on wednesday nights the house wine is unlimited!",food,positive
it is by far my favorite restaurant in brooklyn.,anecdotes,positive
now it's so crowded and loud you can't even talk to the person next to you.,ambience,negative
love pizza 33..,anecdotes,positive
even my indian friend couldn't believe how good and tasty everything was.,food,positive
"i'm from england, and haru's was the best i had in nyc.",anecdotes,positive
less = more in their case.,anecdotes,positive
ruby foo's is a tourist trap.,anecdotes,negative
i've been here a couple of times and have not been impressed.,anecdotes,negative
i've been many time and have never been disappointed.,anecdotes,positive
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,food,negative
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,service,negative
"however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",ambience,negative
we won't go to this place again for a good meal.,food,negative
we were treated with attitude ever since the moment we stepped into the restaurant!,service,negative
"after dinner, take your date to the huge dance floor, probably one of the biggest you'll see in ny.",ambience,positive
taj mahal offeres gret value and great food.,price,positive
taj mahal offeres gret value and great food.,food,positive
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience.,anecdotes,positive
i absolutely loved this place.,anecdotes,positive
i wish i lived there as i would eat at this place as often as possible!,anecdotes,positive
"but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",food,negative
"outstanding bagels, but you get what you pay for.",price,negative
"outstanding bagels, but you get what you pay for.",food,positive
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",food,positive
"if you're in town, it's worth searching for another place.",anecdotes,negative
i have tried the various slice joints around the village but this is by far the best one.,anecdotes,positive
"i found it on a cold night, the perfect spot to warm up.",ambience,positive
they even have a section in the menu called american chinese food!,food,negative
"service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",food,positive
"service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",service,positive
"best italian food i ever had (and being italian, that means alot).",food,positive
i will recommend scopa to all of my friends for a place to go for wonderful italian food.,food,positive
located at the end of a magnificent block.,ambience,positive
"this restaurant is not worth the time, effort, or money to say the least.",price,negative
"this restaurant is not worth the time, effort, or money to say the least.",anecdotes,negative
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",food,positive
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",ambience,positive
keep up the good work guys!,anecdotes,positive
hurley's is terrific!,anecdotes,positive
they don't walk around with the trays of dim sum.,ambience,positive
"great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",service,positive
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,service,negative
i really loved the different and inovated touch that's the cheff gives to the food.,food,positive
they came out over cooked and the cheese was almost non existant.,food,negative
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",food,positive
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",service,positive
"the svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",anecdotes,positive
"the svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",service,negative
"my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary, and to our surprise it was fantastic.",anecdotes,positive
"the food is good, especially their more basic dishes, and the drinks are delicious.",food,positive
but the main hit was the whole grilled fish.,food,positive
"i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",price,positive
on a hot day it was fabulous to stop in and enjoy lunch.,anecdotes,positive
the food is delicious and beautifully prepared along with the friendly and personable service.,food,positive
the food is delicious and beautifully prepared along with the friendly and personable service.,service,positive
pizza here is consistently good.,food,positive
we had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,positive
we had a great tiem watching the shows and characters and ar food was just what we were looking for.,ambience,positive
"after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",service,negative
wouldn't recomend it for dinner!,anecdotes,negative
sauce was watery and the food didn't have much flavor.,food,negative
my husband and i enjoy sangria.,food,positive
"but after last night, spice grill is the only place i'm eating indian cuisine.",food,positive
we both opted for a pasta dish and they were served timely and fresh.,food,positive
we both opted for a pasta dish and they were served timely and fresh.,service,positive
"first the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",service,negative
"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",food,positive
"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",ambience,positive
"in an area sadly lacking in decent thai food, this is one of the best spots.",food,positive
the food was average or above including some surprising tasty dishes.,food,positive
they don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,food,negative
the noodle and rices dishes taste great.,food,positive
the food's as good as ever.,food,positive
"the crust is thin, the ingredients are fresh and the staff is friendly.",food,positive
"the crust is thin, the ingredients are fresh and the staff is friendly.",service,positive
your friends will thank you for introducing them to this gem!,anecdotes,positive
also a little more expensive than your average bagel place.,price,negative
"the food was undercooked-the sauce watery, and the vegetables raw.",food,negative
and the fried clams had just enough kick to them to make 'em worth eating.,food,positive
the sauces used are also not that exciting.,food,negative
the secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,food,positive
i absolutely love this place!!!,anecdotes,positive
the rice was poor quality and was cooked so badly it was hard.,food,negative
we had champagne and caviar and felt like princesses!,food,positive
the shrimp scampi was excellent and the antipasti were plentiful.,food,positive
i am surprised to say the least and find such practice not worth the effort.,anecdotes,negative
"when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",service,positive
"i got the $10 10-piece dim sum combo, every bite of which was great.",price,positive
"i got the $10 10-piece dim sum combo, every bite of which was great.",food,positive
there is also very limited seating and there can be a substantial wait in getting food at peak times.,ambience,negative
there is also very limited seating and there can be a substantial wait in getting food at peak times.,service,negative
"if it's just a quick martini at the bar (which i recommend jeffery's) or a mind blowing roast chicken, go to village!",food,positive
no thanks!!!,anecdotes,negative
i would definently recommend this restaurant.,anecdotes,positive
the prices are wonderfully low.,price,positive
if you like spicy food get the chicken vindaloo.,food,positive
i love this place!,anecdotes,positive
i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,price,positive
i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,food,positive
"so much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",food,positive
"a big disappointment, all around.",anecdotes,negative
and its absolutely delicious.,food,positive
no free drink.,price,negative
this is my first time writing a review for a restaurant because the food and service was excellent.,anecdotes,positive
this is my first time writing a review for a restaurant because the food and service was excellent.,food,positive
this is my first time writing a review for a restaurant because the food and service was excellent.,service,positive
definitely highly not recommended.,anecdotes,negative
"while they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",price,positive
"while they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",food,positive
i had a huge group for my birthday and we were well taken care of.,service,positive
don't waste money on decor.,ambience,positive
they also have a back garden open in the summer - cute and french with outdoor seating - what more could you ask for?,ambience,positive
"go to any corned indian restaurant, and the little india strip along east 6 st rules supreme!",anecdotes,positive
"while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",price,positive
"while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",food,positive
"while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",ambience,negative
have frequented 'ino for several years and the food remains excellent.,anecdotes,positive
have frequented 'ino for several years and the food remains excellent.,food,positive
"their eggplant is so delicate, sweet tender!",food,positive
i pray it stays open forever.,anecdotes,positive
"each bite of food at kai was indeed delicious, fresh, and elegant.",food,positive
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,price,positive
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,food,positive
"if you want to save some money, don't go here.",price,negative
my friend got the mushroom pizza which tasted better.,food,positive
"it's a shame that a nice, convenient place like the pink pony can be so ruined by lousy service.",ambience,positive
"it's a shame that a nice, convenient place like the pink pony can be so ruined by lousy service.",service,negative
you should pass on the calamari.,food,negative
"the porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",food,negative
try the spicy wontons and the salt pepper shrimps.,food,positive
the food portions are really large.,food,positive
the fries are yummy.,food,positive
"friendly and informative staff, very attentive and prompt raw bar service.",service,positive
best taiwanese food in ny!,food,positive
i have eaten at many pizza places around nyc and this is hands down the worst.,anecdotes,negative
this place is a great stop for great food.,food,positive
all the pastas are fantastic and the homemade lasagna is some of the best that i have had in the city.,food,positive
fantastic!,anecdotes,positive
"they were dry and disgusting, i didn't even finish my first piece.",food,negative
highly recommended for a first date.,anecdotes,positive
"we laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, i feel.",service,negative
and the prices were way to high for what you get.,price,negative
"but people from sichuan will die for it)  - chongqing hot pot, chongqing was the biggest city of sichuan, now became an independent province.",anecdotes,positive
the staff ignored my friends and i the entire time we were there.,service,negative
"yet paired with such rude service, would never recommend for anyone interested in carrying any kind of conversation while there.",service,negative
"i went to areo on a sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",anecdotes,positive
"the in-house lady dj on saturday nights has outrageously good taste in music, and moreover, takes requests.",ambience,positive
"i need at least three rolls to be full, and that's at least $14.00!",price,negative
anyone who ever dined at a thai restaurant is in for a huge disappointment.,anecdotes,negative
"all of it was simply amazing, unique and tasty and best of all it didn't break the bank.",price,positive
"all of it was simply amazing, unique and tasty and best of all it didn't break the bank.",food,positive
"great wine list, reasonably priced.--sara",price,positive
"great wine list, reasonably priced.--sara",food,positive
the hot dogs were cold in the middle and the buns were stale.,food,negative
"while the food was excellent, it wasn't cheap (though not extremely expensive either).",food,positive
beef noodle soup is good as well.,food,positive
i was so sad to read the bad reviews this place got!,anecdotes,negative
delivery service is great too.,service,positive
"the food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic thai cuisine.",food,positive
i recieved prompt service with a smile.,service,positive
the place was quiet and delightful.,ambience,positive
molto bene!,anecdotes,positive
.the best i've found outside of the chinatown masters.,food,positive
they are amazing!,anecdotes,positive
avoid this place!,anecdotes,negative
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,food,positive
a must try!,anecdotes,positive
"as much as i like the food there, i can't bring myself to go back.",anecdotes,negative
"as much as i like the food there, i can't bring myself to go back.",food,positive
it looked like shredded cheese partly done - still in strips.,food,negative
the prices and ambience are especially great considering it's in the west village.,price,positive
the prices and ambience are especially great considering it's in the west village.,ambience,positive
the soup is pretty good too.,food,positive
it is so easy to get a reservation at a top place in nyc with a week's notice.,anecdotes,positive
i have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,food,positive
"if you go to roth's try to be served by mike, he is great!!",service,positive
"based on a visit a month ago, i returned the week before christmas and was hugely disappointed.",anecdotes,negative
"not the food ,not the ambiance , not the service, i agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",service,negative
"i love ess-a-bagel, but i live on the west side, so i often go to murray's for convenience.",anecdotes,positive
i always get the shabu-shabu dinner and the beef is always fresh.,food,positive
the pizza was delivered cold and the cheese wasn't even fully melted!,food,negative
we were very surprised by how good the food was on our first visit here on a sunday night.,food,positive
"nha trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",food,positive
"nha trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",ambience,negative
"nha trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",service,negative
"on the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",food,negative
we will definitely go back.,anecdotes,positive
i live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of the pizza place at 3am.,anecdotes,positive
"if i could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in nyc.",food,negative
"if i could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in nyc.",service,positive
the food is amazing!!!!,food,positive
"having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,positive
"the portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",food,negative
"the portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,positive
"for the price, you cannot eat this well in manhattan.",price,positive
"for the price, you cannot eat this well in manhattan.",food,positive
"the owner is very friendly and a great guy, go try his pizza, you'll like it!",food,positive
"the owner is very friendly and a great guy, go try his pizza, you'll like it!",service,positive
the atmosphere is great!!!,ambience,positive
"it can be a very fun experience with a group, and kids (6 and over) would love it.",ambience,positive
"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",price,negative
"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food,negative
"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",service,negative
"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",food,positive
the service is a little scatty at times but all is forgiven when the food arrives.,food,positive
the service is a little scatty at times but all is forgiven when the food arrives.,service,negative
and evaluated on those terms pastis is simply wonderful.,anecdotes,positive
"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .",price,positive
the pickles were great addition.,food,positive
"if your favorite chinese food is general tao chicken, then this is not your place.",food,negative
you must try the shrimp appetizers.,food,positive
"not only is the cuisine the best around, the service has always been attentive and charming.",food,positive
"not only is the cuisine the best around, the service has always been attentive and charming.",service,positive
"filled with suits, though, so you never really feel terribly comfortable.",ambience,negative
"the production is a symphony, alot of fun to experience.the food sublime for the most part.",anecdotes,positive
"the production is a symphony, alot of fun to experience.the food sublime for the most part.",food,positive
"waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",food,negative
"waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",service,negative
"it's like you are transported to the italian countryside, very romantic and filled with antiques.",ambience,positive
the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan.,food,positive
"interesting selection, good wines, service fine, fun decor.",food,positive
"interesting selection, good wines, service fine, fun decor.",ambience,positive
"interesting selection, good wines, service fine, fun decor.",service,positive
i hate this.,anecdotes,negative
any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,service,positive
"whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to northern italy with one bite.",food,positive
"that place was awesome,,,  sally !",anecdotes,positive
finally a reliable chinese restaurant!,anecdotes,positive
but the thing that my wife and i hated was it was so loud and it felt like 'bar' or 'pub'.,ambience,negative
"however, it just so happens that there's an even more amazing place just down the street.",anecdotes,positive
"while there are plenty of places to go for a good corned beef sandwich, katz's has a charm about it.",food,positive
"however, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked perrrrrrrrrfect.",food,positive
priced at upper intermediate range.,price,negative
i recommend ordering in on a weeknight.,anecdotes,positive
"if you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",price,negative
"if you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",food,negative
try the olive cream cheese or the lox spread on a whole wheat everything bagel.,food,positive
"while it's not nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.",anecdotes,positive
"while it's not nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.",food,positive
so my husband made up an excuse so we can leave.,anecdotes,negative
"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",service,positive
i don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,anecdotes,negative
i don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,ambience,negative
the rice to fish ration was also good--they didn't try to overpack the rice.,food,positive
the food is great and they have a good selecion of wines at reasonable prices.,price,positive
the food is great and they have a good selecion of wines at reasonable prices.,food,positive
eating at ottimo is like eating in chef salvatore esposito's home.,anecdotes,positive
katz's deli is a great ny experience.,anecdotes,positive
check it out.,anecdotes,positive
"the only positive was the wait staff, which was prompt, knowledgable, and likeable.",service,positive
i couldn't reccommend their godmother pizza any higher.,food,positive
"i am not a vegetarian but, almost all the dishes were great.",food,positive
i was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,food,positive
i was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,ambience,positive
i would go again if i didn't have to pay.,price,negative
i would go again if i didn't have to pay.,anecdotes,positive
"for the location, the prices are very reasonable.",price,positive
my friend's food was also the complete opposite of what it's supposed to taste like (and look like).,food,negative
i ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,food,negative
i would like to return and try some of the other menu items when i don't have to rush off to a show.,food,positive
"we have been to this place many times, and always have great food, wine, and service.",food,positive
"we have been to this place many times, and always have great food, wine, and service.",service,positive
"alain ducasse is the best of everything, i mean everything was excelent.i",anecdotes,positive
"not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",price,positive
"not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",food,positive
the corned beef was tender and melted in my mouth.,food,positive
go here.,anecdotes,positive
"the best chicken pad tai, i've ever had.",food,positive
$20 for all you can eat sushi cannot be beaten.,price,positive
it has been my first choice ever since i discovered it .,anecdotes,positive
over 100 different choices to create your own.,food,positive
"haru serves very fresh fish, has a trendy, modern ambiance, prime location on park avenue south and friendly service.",food,positive
"haru serves very fresh fish, has a trendy, modern ambiance, prime location on park avenue south and friendly service.",ambience,positive
"haru serves very fresh fish, has a trendy, modern ambiance, prime location on park avenue south and friendly service.",service,positive
warm and friendly in the winter and terrific outdoor seating in the warmer months.,ambience,positive
"very romantic fires - i've literally spent hours at lanterna, drinking wine from their extensive wine and enjoying the ambience.",food,positive
"very romantic fires - i've literally spent hours at lanterna, drinking wine from their extensive wine and enjoying the ambience.",ambience,positive
"i almost wanted to write a bad review, so no one would ever go here and i could have all the dumplings to myself!",food,positive
i loved it and will be back soon.,anecdotes,positive
"always a nice crowd, but never loud.",ambience,positive
"my turkey burger was not cooked at all, my friends salmon was completely raw.",food,negative
"his drinks are very inventive, delicious and classy.",food,positive
"great food, great prices, great service.",price,positive
"great food, great prices, great service.",food,positive
"great food, great prices, great service.",service,positive
awsome pizza especially the margheritta slice.,food,positive
"this place, however, has a lot less pretension than joya and the thai food is still above-average.",food,positive
"this place, however, has a lot less pretension than joya and the thai food is still above-average.",ambience,positive
"try ordering from the regular menu, then you would not regret!",food,positive
"told us to sit anywhere, and when we sat he said the table was reserved.",service,negative
"we started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",food,positive
"the crispy chicken wasn't for us, though.",food,negative
just awsome.,anecdotes,positive
food is great.,food,positive
there is a lot of variety even for people who eat vegetarian like me.,food,positive
i recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,food,positive
this place is incredibly tiny.,ambience,negative
"i will definetely go back again and again, that's for sure!!!",anecdotes,positive
"i didn't complain, i liked the atmosphere so much.",ambience,positive
this is one of our all-time favorite.,anecdotes,positive
in reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,service,negative
"the wine is always good, the tapas are always yummy, especially with the warm pita bread.",food,positive
"but when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",price,positive
"but when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",service,positive
this place is amazingly bad.,anecdotes,negative
"compared to other shabu restaurants around town, this places wins hands-down.",anecdotes,positive
i've been to several places for dim sum and this has got to be the worst.,anecdotes,negative
i've been to several places for dim sum and this has got to be the worst.,food,negative
i love this place.,anecdotes,positive
"the freshest, best variety, and the fastest delivery.",food,positive
"the freshest, best variety, and the fastest delivery.",service,positive
go to volare for 1st class service and terrific food.,food,positive
go to volare for 1st class service and terrific food.,service,positive
"it's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",ambience,positive
"it's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",service,positive
dinner took almost 4 hours without any lag time.,anecdotes,negative
the people in the restaurant were pretty obnoxious and loud.,ambience,negative
"the sandwiches are dry, tasteless and way overpriced.",price,negative
"the sandwiches are dry, tasteless and way overpriced.",food,negative
price no more than a jersey deli but way better.,price,positive
the fried rice is really good too.,food,positive
we were well attended to by the enthusiastic staff especially the manager tony gaskin who made excellent suggestions for our menu selections.,service,positive
made my dining experience uncomfortable.,anecdotes,negative
it's a steal!,price,positive
"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...",service,negative
i was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,ambience,negative
"a very inviting restaurant, with friendly service.",ambience,positive
"a very inviting restaurant, with friendly service.",service,positive
"the back garden sitting area is very pleasant, where you can see their personal herb garden.",ambience,positive
will go back but only sate those homesick stomach cravings!,anecdotes,positive
"good french restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at katz' deli, or mexican food which is supplied by capable restaurants.",anecdotes,positive
i was very disappointed with this restaurant.,anecdotes,negative
the drinks are always welll made and wine selection is fairly priced.,price,positive
the drinks are always welll made and wine selection is fairly priced.,food,positive
we also had shared a house salad that was fresh.,food,positive
