Sentence,Entity,Sentiment,Probability
The VFM is excellent; the staff are patient and helpful on the helpline and the online application form was pretty simple.,helpline,positive,0.99852234
Very helpful service and easy to complete process.,service,positive,0.9992084
i was disappointed that only in very small report did it say that the travel insurance we had bought would run continuously with axa taking further premiums unless we instructed otherwise and that it is not possible to issue such instruction until after purchasing the insurance.,report,negative,0.014217834
Â£500 less than my former insurers for same service !,service,positive,0.99439526
very informative web page and site easy access to everything very quick process from deciding options to getting covered.,site,positive,0.9990889
Very frustrating  and time consuming.,time,negative,0.0041286796
Very good service and an excellent insurance package.,service,positive,0.999064
Why would  any customer bother price matching?,customer,negative,0.013505428
Axa answered my questions and provided a good price.,price,positive,0.9992311
Found a lovely deal with this insurance group which was cheaper than all other insurers.,insurance group,positive,0.9990295
no hidden charges either.,charges,negative,0.031621553
"i supposed that i was being a useless idiot, until i just went to use the (extremely carefully) newly selected password for the third time and discovered their system won't recognise the password again.",time,negative,0.02184337
this is the first time i have ever had to do car insurance and i was a bit confused but this was quick and simple and the policy document is very clear and not full of jargon.,bit,negative,0.06359651
Sales team made an initial mistake in naming wrong driver as \ Main Driver\ .,team,negative,0.027578363
my claim was handled efficiently and without delay as I had to get workmen in to do the work fairly quickly and needed to have the funds to do so.,work,positive,0.96178377
After a really upsetting experience with a previous provider that has found me confused offended and feeling devalued as a customer I sought new insuranceThrough a comparison site.,customer,negative,0.024543451
I had some questions I needed answering and the web page for the online policy maker wouldn't have been able to answer them.,web page,negative,0.0046573044
The AXA web site application is terrible,web,negative,0.0039900145
Excellent communication friendly staff and easy to navigate website.,communication,positive,0.99898165
what i don't like is that ive just had a email telling me the card i used to pay with.,email,negative,0.006749048
Taken out 2 car insurance policies today went through policies with customer advisor Paul who was very helpful and explained details to me so i could easily understand.,customer advisor,positive,0.9990675
Very quick quote simple process and very good value for money much better than other insurers.,quote,positive,0.9989513
Bruce our sales guy was just great very helpful kind went through the whole process clearly and calmly  he was great as we had been talking to other insurance sales people and my husband commented they were like robots but not Bruce at axa a credit to any company,sales guy,positive,0.99801743
I have ordered the same product and paid for it twice in error.,product,negative,0.010986819
Picked the best price easy to use service clear and fast.,service,positive,0.99921477
Excellent customer service very friendly and happy to answer any questions,customer service,positive,0.99931765
I had clicked through to cheaper quotes but not impressed when those companies then quoted much higher prices than quoted earlier the same day plus hidden admin charges not shown on the comparison website.,charges,negative,0.0050772973
\nIt was the easiest and most friendliest telephone call I have ever had when buying an insurance policy.,policy,positive,0.9989735
I wanted car insurance at a reasonable priceand I got it.I don't want toys or cinema ticketsjust great value insurance and I got it.,value insurance,positive,0.9986671
Booked via compare the market butv when it came to book and go to the insurer website the price went up.,price,negative,0.005561954
You never know how good insurance is until you need it.,insurance,negative,0.31083378
Why not say at the beginning that proof of NCD is needed not until post purchase I now have to chase up my previous insurers.,post,negative,0.021427875
have used axa before have had no problems,axa,positive,0.9790454
Easy website and competitive price - but no online chat or obvious 'phone number to answer questions so if my husband hadn't been insured with AXA and let me look at his documents I may not have had my questions answered.,documents,negative,0.0041643735
Given that I linked to the 'get quote for travel insurance' page from my Axa existing customer account and that this is not the first time I've bought Axa travel insurance it's really tedious to have to enter all my traveller details afresh every single time.,quote,negative,0.054095585
Took upwards of 20 mins to get through to the call center and encountered a lot of background noise making it difficult to communicate at times.I have hearing problems and the distraction made things unnecessarily awkward.,background noise,negative,0.01472618
this is my first time with AXA for car insurance and the way \nthey dealt with me  was excellent i would buy from them again\nand would highly recommend them to friends and family,car insurance,positive,0.99894494
Spoke to today with a colleague named Andie and she was a great help - made all the information understandable and simple and helped me with my quotation - excellent service,service,positive,0.99918205
good price better cover; easy to use,cover,positive,0.9980452
Very pleasent young lady\nVery polite a credit to your company,company,positive,0.9992167
Very good service.Easy to use the site and follow instructions.,instructions,positive,0.992031
first class sevice very polite and helpful answered all my questions many thanks,sevice,positive,0.9993144
Just because it was online - no personal contact so hard to rate any higher.Just an online application - fairly straight forward but typically dull really!!!,online,negative,0.025330411
As headline suggests easy to get quote then purchase insurance absolutly useless and frustrating when you get an email to register.,purchase,negative,0.024989048
I have just used AXA to renew my car insurance this year and it has not actually started yet so I can only comment on my experience of applying for/paying for the service which was fine,service,negative,0.17481998
We love our trusty motors so I was relieved to secure a much better price to insure mine  at AXA.The online information was clearly laid out and was clearly repeated by the girl when I phoned to complete payment.The previous company quoted more than twice last year`s figure for the same conditions!,price,positive,0.9924982
Yes very happy with service I received from axa staff member who talked me through my purchase of car insurance,service,positive,0.9990854
\n\nEverything was well explained including the discrepancy between the breakdown policy I was offered with my insurance cover and the identical breakdown cover with AXA that I purchased separately.,cover,positive,0.99772877
took 30 mins to be connected once connected service very good,service,positive,0.99881625
Excellent service good value for money & super-quick cover.,value,positive,0.9964864
However you nearly lost my business as I was getting fed up waiting to be answered.,business,negative,0.0068326527
Good price and smooth online transaction,transaction,positive,0.9990878
very easy to use website competitive pricing helpful staff.,staff,positive,0.99922633
Compared with some other insurance companies I feel that the home/buildings/contents insurance is good value for money.,insurance,positive,0.9897265
I have used Axa in the past hence why I have returned a very competitive & professional company.,company,positive,0.9979995
A very good easy to follow service to obtain car insurance.,service,positive,0.99907315
Good price and service online portal is easy to use.,price and service,positive,0.9992549
Really easy to use the site easy to navigate and fill in relevant information in order to obtain a quote great service all round and very competitive prices,quote,positive,0.9992465
Good website and helpful customer service advisor.,customer service,positive,0.9992913
After comparing various quotes on Compare the Market I chose Axa because  they quoted fairly for the product I was looking for.,product,positive,0.996093
trying to find an email address to complain is near on impossible and i refuse to pay £1.12 from a bt landline,address,negative,0.00399581
Easy to use great rates and clear questions,rates,positive,0.9992755
Easy straight forward but as the old saying goes you find out how good an insurance company is when you come to claim,company,positive,0.9968172
I have had to go through having a refund of my  £240 taken out of my account which was very stressful.,account,negative,0.008606758
i had to ring up as i wanted to add another diver but couldn't seem to do so on the website.,diver,negative,0.008566033
The website was user friendly,website,positive,0.999067
Customer service was excellent and they called me in different time and answer all my questions .,time,positive,0.99647766
Service seems ok but disappointed it was cheaper for us to cancel an existing policy with axa and the renew for a 12month period through comparethemarket and we've had to pay to pay a £52 cancelation and lose 6months of no claims.,axa,negative,0.05151975
As a fall-back no telephone number is given so I cannot contact the company.,telephone,negative,0.009799433
This was my second time using your company first time was ok but unfortunately this time I had to cancel my holiday and admittedly I failed to fill in and read part of form correctly may I add not intentionally this would not have been to my advantage and for the sake of saving about £20.00 .,saving,negative,0.02483212
All great except the website wouldn't process the payment so I had to call to finalise the payment.,website,negative,0.14367057
Excellent customer service very thorough explained the policy in full.,customer service,positive,0.9992306
Renewal costs were Â£40 dearer than previous year.,Renewal costs,negative,0.0066974107
you don't know how good an insurer is until you need them i have been disappointed in the past especially with car insurance \ni have had a couple of claims in the last year which is not normal but the service efficiency and courtesy has been outstanding from axa home insurance \nwould highly recommend 5 star,axa,positive,0.9974808
force the customer down the path of auto renewal and make it difficult to opt out.,auto,negative,0.012641115
Very efficient service your Admin staff Mr. Bruce was very professional and polite good talking skills on the phone.,service,positive,0.9992016
No problems went on line got a quote for travel insurance which was competitively priced so I bought it.,travel insurance,positive,0.98691946
They told me they couldn't match my best quote elsewhere without even checking it.,quote,negative,0.0037870617
Friendly polite and patient customer care by axa team members,team member,positive,0.99910575
On line service did not work and customer advisor was poor at his job,line,negative,0.01717007
Simple to use online system very prompt responses via email on ensuing follow up and best quote received.,quote,positive,0.99924976
Easy  fast reasonable price  until now everything is perfect  just thinking if I will have any problems like \  not received ncb\ ...but we will see.,problems,positive,0.6281381
Good service easy to navigate website,website,positive,0.9991291
one of the things it didn't cover legal liability when i clicked on it it deleted it instead of adding it i did add it at the final pay section.,pay section,negative,0.013933524
Customer service at its very worst I'm really upset and angry.,service,negative,0.0029229287
Layout of the website is very good the only thing I can suggest improving is making clearer the pricing just prior to purchasing!,pricing,positive,0.99717605
Any questions of which i had none were answwred in a professional way and i wouldnt hesitate in recommending Axa to my friends and family.,questions,negative,0.3134521
First class service very helpful staff good prices!,class,positive,0.99898475
subsequent quotes came up with the reference number \ 1\ which i couldn't access from the my axa site.,reference number,negative,0.006206937
What a horrible website experience in these days.,experience,negative,0.005414901
Cheapest I could find with all the benefits  I was getting with previous insurance  and saved myself 100 quid,insurance,positive,0.9979929
The advisor gave me loads of options and was really really helpful and a genuinely nice pleasant guy to deal with who made the whole transaction smooth and efficient!,transaction,positive,0.9991948
easy to use web site product detaiis well explained ecxellent value,web site,positive,0.9991929
Bought contents insurance was a quick easy and understandable process.,contents insurance,positive,0.99913055
Bit of a shame as I like the Axa policy so cancelled my auto renewal and took out the new policy same happened last year  but I wasted a phone call to be told to do what I have done myself this year - Axa obviously hope you will just renew automatically ....,renewal,negative,0.43473133
I was able to speak with a member of staff who was very helpful and took the time out to assist me with my queries.,staff,positive,0.99878126
Great level of cover at a very reasonable price Good telephone service and friendly staff.,staff,positive,0.9991098
But i must say i found using and setting up my car insurance with Axa exceptionally easy and finally talking to a real person to go through my information and rechecking the details very easy as well.,car insurance,positive,0.9990941
Very pleased with the premium considering my renewal with my previous company increased by over 50%.,premium,positive,0.99803954
As a brand new customer it's early days yet to make accurate comments but so far so good.,comments,positive,0.99091804
equally i had not been advised the cancer had travelled outside the prostate.,cancer,negative,0.010155436
Did not enjoy going all through a 15 minute interview.,minute,negative,0.0067531373
the gentleman that helped me had great patients with me and i would commend all his telephone skills   mr ian adams,gentleman,positive,0.9985933
Cheapest quote and great service.,service,positive,0.9992347
Good service from your call centre staff competitive prices.,prices,positive,0.99890435
Good price and easy to follow quotes.,price,positive,0.99812466
Informative  person on the phone who explained my queries sadly you were closed when I wanted to ring back but I was able to make my transaction on the internet due to the information I had received on the phone.,information,positive,0.9840644
they gave me the insurance that i needed easy to talk with axa over the phone uk based which makes a nice change,axa,positive,0.99719775
Excellent website plenty of choice to customise the policy and clear fees and charges,website,positive,0.99881613
First class service no problems organising our new house and buildings insurance on the day we moved.,class service,positive,0.99861145
Very happy with the service I received tho the time I had to wait for an appointment was frustrating,time,negative,0.00803272
Great price and great web site.,price,positive,0.9988261
spoke to one of the female call takers who was very helpful and did every thing to help with my car insurance  Very pleased,call taker,positive,0.9990276
Great quote half my renewal premium and more cover,renewal premium,positive,0.9964734
The agent said he was obliged to give me this information.,agent,negative,0.10531882
Great cover with quick user friendly system to tailor policy,cover,positive,0.9988937
Service very good only problem is postal documentation.,documentation,positive,0.5182262
A very efficient system and excellent service.,service,positive,0.9992015
Next day thought it might be covered under home insurance - phoned Axa and was offered immediate compensation by BACs to my bank account.,insurance,positive,0.98554975
I found the form easy to complete and understand and eventually had a much better car insurance  quote than my old supplier,car insurance,positive,0.998422
Auto-renew should NEVER be the default setting withoit the option to decline BEFORE i prchase the policy - i will be turning it off but await my letter in 11 months time stating you will 'automatically' take out next years premium at a greatly increased price to this years premium!!,price,negative,0.3086469
Very easy to use web site good options,options,positive,0.99909365
new customer\ price - would love loyalty discounts instead so that i don't have to keep flicking between m&s and axa every year !,m&s and axa,negative,0.32213745
I found that the service was great value as it came up as one of the cheapest on the comparison site.,site,positive,0.9918445
I failed to make payment online but the phone on a Sunday was answered very helpfully and promptly and the  premium was a quarter of that quoted by my old insurer,premium,positive,0.9933615
Purchasing and selecting the appropriate package was clear and easy-at a competitive price.,price,positive,0.99832886
The service dealing with my enquiry and agreeing my policy was excellent but the IT  is rubbish.,service,negative,0.123777986
Easy to use website good price easy to understand policy schedule.,website,positive,0.9980901
It took  two attempts to take out car insurance as the operator could not provide a reason as to why the system would not give me a quote initially.,operator,negative,0.0069725686
A most helpful team that was a pleasure to communicate with making the purchase of car insurance an efficient experience.,experience,positive,0.999204
Renewal cost was higher than last year search on their own web site gave lower cost for new policy \ Customer Service\  were unable to match this!!!,search,negative,0.048877005
I can't comment on the service related to the insurance product but the site was very easy to navigate and make changes to your policy.,insurance,positive,0.99333715
REALLY REALLY frustrating that insurance companies can't reward loyal customers by giving them better quotes rather than giving them one worse than new customers get going of the proviso that most can't be bothered to look for cheaper quotes and just go with the new price they've been given.,price,negative,0.013541877
Existing AXA home insurance policyholder very disappointed that I had to visit a comparison site to obtain best renewal price.,comparison site,positive,0.69430715
The web site quote saving function doesn't work at all which makes it a pain.,work,negative,0.013987136
the quote i first got was â£523 then when i added the number plate it went upto â£610 so as far as i'm concerned i will never renew my policy with axa or take out any other policy with them or any subsidiary company.,number plate,negative,0.013364728
\n\nI feel very confident that I have a very good car insurance in place which only cost a little over half of the quote from my previous insurer.,quote,positive,0.9989126
I found buying my car insurance was hastle-free and it was a pleasant experience with all questions competently answered.,car insurance,positive,0.9990809
Great service with friendly efficient members of staff for a policy with great cover,policy,positive,0.99891305
By far the best quote for my first car insurance by miles!!,quote,positive,0.99836355
Generally good service but had two cars to insure and was told that Axa don't do multi car policies.,service,positive,0.99464273
I got my renewal price which didn't seem reasonable so I called them to be told they always send out their lowest quote.,renewal,negative,0.017818687
Extra discount for already having car insurance.,insurance,positive,0.9928901
The call was answered promptly the call handler was polite friendly and efficient and explained the policy clearly.,call handler,positive,0.9992755
"10 minute wait before call could be dealt with this was during the day not late at night, axa answered after 3 rings and we sorted out issue.",day,negative,0.3314187
It was a pleasure to get our car insurance sorted with keiren .,car insurance,positive,0.99848574
axa site is top class and easy to complete.,class,positive,0.99873954
This resulted in two phone calls a lot of wasted time .,phone,negative,0.00600235
Did not ask me the correct questions and then increased my premiums,questions,negative,0.0084529305
The quote on line was simple and when I had a query about wether it had gone through the phone service (Bob) was very helpful indeed.,service,positive,0.99833846
AXA is a company I've heard of and is reliable and very cheap compared to other quotes and decided to choose axa,axa,positive,0.9930034
It as shame that both mot and car tax are electronic but apparently exLecturing ally exchanging no claims information is beyond the ability of the insurers.,insurers,negative,0.015108198
Started chatting to lady asking her prices and she said she had no idea and to phone insurance so it was very confusing as we had phoned the insurance!,idea,negative,0.011234006
Easy to use website and very competitive price.,price,positive,0.9983531
Easily understood products and very good prices.,prices,positive,0.9985846
Interesting that going direct via a comparison site and not via intermediary (Endsleigh) AXA's price was Â£200 cheaper for greater level of cover.,price,positive,0.99674076
For me that is great and the price is very good compared to my previous insurance company.,company,positive,0.99244976
quote was good but problem with debit card acceptance which I dont understand as same card is used for my car insurance payment with axa,debit card,negative,0.08039371
Really easy service to use great customer service,service,positive,0.99928916
Very good value and simple to choose the best options.,value,positive,0.99906844
really not great considering my bag was lost twice and then delivered 160km away (side note- do not fly brussels airlines if your connection is less than 2 hours; they will lose your bags).,km,negative,0.041390575
Surprised that the same travel insurance policy I took out for my holiday this year (2016) was over Â£20 cheaper than for my next holiday in 2017!!,travel insurance,positive,0.9933727
I won't be renewing my car insurance next year and I will not use your company for any other insurances in the future.,insurances,negative,0.015900308
every other insurance company did the same on the comparison site so they are all as bad as each other,site,negative,0.026905434
We've made two other claims - one quite complex - in the last 12 months having never made a claim in the last 15 years (admittedly not all insured by AXA) and I can't believe what a poor experience we have had and what a poor and confusing service AXA offer.,claims,negative,0.01622442
\nThe website is really quick and easy to use with clear options to increase or decrease cover and really clear pricing.,website,positive,0.99898714
I saved 30% on my car insurance by switching to AXA and get exactly the same cover as my previous insurer.,insurer,positive,0.99278945
Good clear advice and information support staff were helpful and had a good sound knowledge base of the product.,staff,positive,0.99900407
I still managed to purchase my insurance with no problem .... I can't comment on anything other aspects of this company as I'm yet to experience anything but so far so good,insurance,positive,0.99195075
When phoning although pleasant staff not always put to the correct department which can be frustrating.,staff,negative,0.024150254
Faz explained all the costs found the cover I required at the best price a good phone manner took the time to listen  excellent,phone manner,positive,0.9989825
Only thing I was confused about was I thought I was getting s quote on multi car insurance.,quote,negative,0.008175937
Quick and expedient but was expected after I'd inputted all details in quote.,quote,positive,0.8187927
Would not accept my debit card!,debit,negative,0.0019690723
Helpful sellers and excellent insurance product,insurance product,positive,0.9992482
\nI tried one more time an hour later to find a quick response and happy with the phone service I received.,service,positive,0.9991673
They have great customer service and take care of all your needs,service,positive,0.99886394
Great service all questions answered,service,positive,0.9992613
Everything has been done over internet so no long waiting times on hold on the phone.,internet,negative,0.33785346
it may have been a cheaper quote but it was useless when i couldn't proceed to payment.,payment,negative,0.004116471
I want to thank you all for your excellent and prompt service throughout my claim it was really ready and finished in two days - Thank you so much.,service,positive,0.99847263
however i thought i was insuring with axa because that was the name all over the quote but after i had signed up the name swiftcover started appearing then it became apparent i am insured with zenith and i am not at all happy about this and feel duped as i want a household name company as i do not insure with companies i have never heard of who give crap service and have small print.,name company,negative,0.02238992
I purchased Car Insurance for half the price of my current Insurers renewal price.,renewal price,positive,0.99500644
The website was quite difficult to use  wouldn't except credit cards but got there in the end!,credit,negative,0.023688367
Very Poor because of the unnecessary automatic renewal of the car insurance policy which is designed to take money from unsuspecting policy holders.,car insurance,negative,0.006660187
good price ease of accessing application to purchase,price,positive,0.9990017
Very efficient I spoke to one of the the staff who gave me good advice .,staff,positive,0.9988495
Competitive and helpful service with a great website.,website,positive,0.99917334
Easy to use website price matched the comparison site quotation exactly.,quotation,positive,0.998635
I have been using axa insurance for our travels for awhile now and the prices has always been reasonably good.,axa insurance,positive,0.99758196
first class service the job was completed wthin the hpur,class,positive,0.9957237
also not many companies do more than three months.,companies,negative,0.02129439
The call taker was very helpful and made the process very simple I was treated as a customer should be treated unlike my previous insurance company.,company,positive,0.9973526
A easy application from a well Known and respected company and a price compatible to my details,price,positive,0.9991627
Great very understandable service and good additional advice's.,advice,positive,0.9990694
It wasn't the fault of the customer service rep who was very good and helpful polite and businesslike.,customer service rep,positive,0.9017856
easy to complete quotation form and competitive policy price.,policy price,positive,0.9991291
Very helpful people with dealing whatever the problem you may have the team deals with it very professional manner well happy with the service,service,positive,0.99928373
phone staff are very good but as for your web site it is a joke doesnt work most of the time and doesnt help you at all like I opened a new car insurance with axa and it asks me for my log in details but gives no way for new customers to set up log in details its really a mess,customers,negative,0.011382918
got this insurance through comparethemarket.com dead easy to use was re directed to AXA website and it was a simple few steps then creating a password for my account so my documents are available online anytime I need to get them,website,positive,0.9959538
customer service very helpful but have still not been able to access my insurance details via link would be better if sent like they used to,link,positive,0.6217031
i haven't claimed anything - so can't talk about that part of their service.,service,negative,0.014760354
first class service simple to complete application on line easy to complete the policy,service,positive,0.9991074
Website easy to use easy to send in proof of no claims good price for insurance too,price,positive,0.99899274
The guy I spoke to gave me the best customer service I have received from any car insurance company.,customer service,positive,0.99924016
Cannot understand how a car that cost £1000 can cost equally much per year for a +50 driver with no claim over 25 years?!,driver,negative,0.00608095
Easy to use website great deal and easy to find through compare the market,deal,positive,0.99852127
It leaves a bad taste when AXA deliberately make it awkward to opt out of auto renewal and junk mail.,renewal,negative,0.008341357
Quick efficient service good product good value.,product,positive,0.9989801
Despite the standard reams of questions the whole process was quite simple and was completed quickly.,process,positive,0.99252445
Very good price compared with other companies for pre existing conditions.,price,positive,0.9860095
only negative is that they do not give you a landline number to ring or an email address to contact,number,negative,0.0038786153
simple to follow questions also benefitted by having a car already insured with AXA,questions,positive,0.99849725
The price given was very good for what was actually provided and I wouldn't hesitate to recommend AXA insurance services although I haven't had cause to make a claim or contact their customer services department.,customer service,negative,0.4200876
sorry nothing we can do you will need to cancel the renewal and then buy the new cover online\ .,renewal,negative,0.014724247
very good renewal premium & easy to set up new policy on-line,renewal,positive,0.9975625
very prompt call to my online enquiry and customer services rep very helpful and thorough,customer service,positive,0.99930406
Very good experience - clear and easy to use website and one of the best prices around - I saved Â£120 compared to my current insurer!,prices,positive,0.9948926
The customer service agent was a real star.,service,positive,0.99900407
I would recommend axa car insurance the best online company I have visited.,axa,positive,0.9987047
This feedback request is useless.,request,negative,0.004385596
There website was brilliant Plenty of information and easy to understand.,information,positive,0.9988539
Only problem is the phone numbers 0330  are not not cheap or 0834 and company's like your self profit by this  it bad engough paying for car insurance with out extra expend  Other than that the operator I was dealing with  was very good,company,negative,0.10684721
i received an email from AXA (which i never looked at until 4 days later) that the letter that i had been sent by my insurance broker and emailed to AXA was not acceptable and that AXA was going to take money from my debit card to make up the difference and/or cancel  the insurance i took this as AXA  was threatening me for no reason what so ever.,debit,negative,0.007993801
Heard nothing- no email confirmation nothing through post payment had gone out of my bank on the day I bought it.,payment,negative,0.022701671
Able to change each option as many times as needed to look at the difference in the policy price.,price,positive,0.9421811
I spoke to a lady called Emma explained the situation to her & she assured me that we would be covered.,situation,positive,0.9921442
Tried AXA price was considerably cheaper for a better product,price,positive,0.9985845
The agent spoke far too quickly and not clearly enough.,agent,negative,0.008649357
My cheapest quote by far with great service and more than the basic cover offered by my existing provider.,provider,positive,0.9975478
I have cracks appearing in my ceiling and asked for someone to come out to check what was wrong.,check,negative,0.0043624546
Polite staff that are clear and consise made this a doddle.,staff,positive,0.9984352
Have renewed my car insurance and also house insurance excellent deals and service.,insurance,positive,0.9980142
The website was very easy to use and additional information provided was helpful.,website,positive,0.99906975
My queries are always sorted out hassle free.,queries,positive,0.9871472
He kept saying that the underwriting process was more specific through their site - fair enough but if that's the case then they should not be quoting a significantly lower figure on comparison sites to get customers in - it's misrepresentation however you try and explain it.,comparison,negative,0.009303066
Excellent friendly and knowledgeable sales staff made sure I got the right cover to suit my needs.,staff,positive,0.9991574
Having been used to pen and paper I find arranging insurance etc.online quite stressful.,insurance,negative,0.36345106
Only difficulty was filling in the section re,section,negative,0.014600405
It was quick and was but I don't seem able to view download or print policy documents which isn't good!,policy,negative,0.0043661613
Great value for money and a really simple non-convoluted application process.,money,positive,0.9977641
I was somewhat put off by the amount of extra services that the salesman was trying to get me to buy.,services,negative,0.013094105
Having to print my Certificate of motor insurance I find Rather bizarre.,insurance,negative,0.005179457
Ben was very helpful and informative he made the process easy clear and straight forward,process,positive,0.9991037
Having compared many different car insurers I was pleasantly surprised to find that my current insurers was one of best prices quoted I had expected it to have increased.,prices,positive,0.99587965
Competitive rates easy to apply online  only took 10 minutes.,minutes,positive,0.9896249
Allen Hunter did excellent job when purchasing my car insurance,job,positive,0.99867463
No post hastle/ no wait for document printing just super!!!!,post,negative,0.0053049084
Very disappointed I will not receive any paperwork.will have to see how it works out; not sure about it; we seem to be going internet mad older people like paperwork for records!,paperwork,negative,0.0026659854
now I am scared to death that I wont be covered ....   They got my address right why didnt they get all the cookies info right?,address,positive,0.71005964
The website was user friendly and  I had no problems.,website,positive,0.9987218
For me the opening hours for customer service is inconvenient as I am a full time working mum.,customer service,negative,0.017412852
I was very pleased with the easy way I could get the insurance on line and the main factor was the price it was very cheap for what it covers.,price,positive,0.9985611
I lost the will to live when trying to pay for the insurance,insurance,negative,0.0162423
He got my new policy started quickly with no issues!,policy,positive,0.97556555
Quick and easy car now insured at the best price and cover,cover,positive,0.99871826
No claims proof was requested and email was processed and acknowledged very quickly.,claims proof,positive,0.6527428
Easy to use website with a helpful uk based customer service who could answer my enquiry without hassle.,website,positive,0.998792
When our car insurance come up next year will defenetly get a quote from them .,car insurance,positive,0.9977725
Although it took half an hour and the agent refused to call me back he dealt with my questions well.,agent,positive,0.9300514
So yes I will be using AXA again and yes I would recommend the company and frequently do.,company,positive,0.998412
Good value for money that met all my requirements.,money,positive,0.9985672
I was upset and shaken when I phoned to make the claim on my car insurance.,claim,negative,0.0043131374
Now waiting for cancelled contract to be refunded as had to pay for both,contract,negative,0.025323477
I have just done my car insurance with AXA onlineit was easy to do my only quiery is I can't find it under my account yet but that might be once they confirm my NCD.,car insurance,positive,0.99591726
I dealt with your mployee Jill who made my purchase of my car insurance easy.,car,positive,0.9987539
using a mobile device i followed link from price comparison website to the AXA website site which was really well designed for mobile - simple intuitive clear and quick.,website,positive,0.99628985
My insurance enquiry was dealt with by Andy McDonald a delightful chap who made it a quick and none stressful process.,insurance,positive,0.9987109
Good customer service was able to answer my questions quickly and efficiently.,service,positive,0.99904794
i was told under no terms there was any discount what so ever!,terms,negative,0.009793361
Excellent customer service a pleasure to deal with,service,positive,0.99924135
I can find no fault in the service.,fault,negative,0.020991024
initial claim handling was good until settlement was passed to lmg and hallmark where i found them to be inept was told countless things that were not true given incorrect settlement time frames then told they couldn't help,time frames,negative,0.0031819588
excellent web site so quick and easy to use especially with pre existing medical conditions,conditions,positive,0.99653566
Unable to complete purchase on line as difficulty processing payment.,line,negative,0.005987466
These details were exactly the same as given for the initial quote so the premium should not have been affected unless the program is written to automatically increase once the reg number is entered - this is then 'justified' as being the 'true price' the previous was merely an estimate.,quote,negative,0.05740257
We were very impressed with the service we received last evening.,service,positive,0.9989796
Have used Axa travel insurance before and always a professional service.,service,positive,0.99882144
Not only were AXA the best value but the process was extremely easy using Go-Compare and the AXA website,website,positive,0.99794143
same every year can't understand it,year,negative,0.010425184
The questions were relevant and the cover adequate and good value.,questions,positive,0.9991166
Fantastic help and services which offer great value and cover.,help and service,positive,0.9992362
Absolutely clear instructions and details of all  charges including charge for credit payment if wished for.,payment,positive,0.9979665
Really easy site to use online and great prices!!,prices,positive,0.99846447
I have had contact with staff this week about all option if car insurance and were all polite coherent and explained everything very well .,insurance,positive,0.9983543
Good but annoying it is made deliberately hard to stop auto renewal of policy,renewal,negative,0.006247109
This has made the procedure frustrating.,procedure,negative,0.004350093
The only thing that annoys me is the fact I had to register with them to get my certificate and the request for proof of no claims discount.,discount,negative,0.015460627
Saved half price on my existing home insurance for similar cover.,price,positive,0.99415356
i am very disappointed and now realise cheapest insurance proivder via a compare website is not always the better option.,insurance proivder,negative,0.015625618
shame you get punished when paying monthly - they're all at it - i mean are they not making enough money out of the policy itself without charging a fortune for spreading the payments out over 10 months,policy,negative,0.0054909354
Efficient friendly service with no pressure to purchase additional cover with clearly communicated information about the policy and associated implications regarding what the cover provides.,service,positive,0.9988292
all of this assumes we are computer wizards which we are not finding it confusing and frustrating .,computer,negative,0.03024966
I had a car insurance policy with Axa a few years ago that regrettably I had to change however the product offered and customer service provided resulted in me wanting to give Axa my future business not to mention possibly the best rate!,customer,positive,0.9939247
Easy to take out insurance on the net simple to follow and at at good price,insurance,positive,0.9987445
I've paid additional money for AXA's mistake which doesn't sit comfortably with me.,mistake,negative,0.0032541829
the insurance itself is good good price easy to book and i like that it tells you exactly what countries are covered by europe because not all insurers do this and it can be a worry.,insurers,negative,0.081141576
the experiance was great...thanx,experiance,positive,0.9978398
Prompt and informative service and great price.,price,positive,0.9989517
Helpful sorting out house insurance but I was not impressed with car insurance quote do went elsewhere.,house,positive,0.9881996
"you spend the next 20 mins on the phone answering the same questions you just answered online, even telling them i don't want to buy anything else just the basic car insurance don't help they have to read their whole script and can't skip any parts.",phone,negative,0.037454918
Excellent website - very simple to navigate and my quote is half the renewal quote for my existing insurer with far better cover.,cover,positive,0.997355
Very easy online service...good cover at a great price Thankyou,price,positive,0.9972512
The customer advisor Michelle was fab!!,customer,negative,0.4119585
Brilliant staff who listen and help you choose the right insurance would definetely recommend.,staff,positive,0.99922144
simple well explained benefits of policy by customer service agent exceptional value cover low excess would highly recommend you approach Axa to quote for your needs you may be as pleased with the result as I was.,value cover,positive,0.9991856
Instant access to policy and a very reasonable price.,price,positive,0.99916995
Claim dealt with in quick time.,time,positive,0.98047376
I requested for the insurance to start on the 18th of this month and just paid my deposit of £232 to then receive documentation stating insurance to start on the 22nd called customer service to adjust this and response of \ nothing we can do\  not good at all.,customer,negative,0.029457066
I was given another number of validating team and nobody picked up at all.,team,negative,0.016555544
If found the service from axa service team first class and hope it will continue Best regards Ken Buckenham,axa service,positive,0.99911577
The call handler -Matthew was very professional kind patient and fully explained everything,patient,positive,0.9990349
Sent a renewal for my home insurance at 120% more than previous year - set to auto renew and debit my card.,home insurance,positive,0.88451207
I have my car insurance with this company and that was one of the reasons I bought their Contents Insurance as well they are certainly good value for money.,car,positive,0.9976419
Good clear telephone manner explaining all relevant details corteously,telephone manner,positive,0.99921536
Very happy with the quote after previous insurance company put the price up again.,insurance company,positive,0.9973562
